label	replace by
department of virology, nagasaki university, nagasaki, japan	NAGASAKI UNIVERSITY
department of virology, national institute of hygiene and epidemiology hanoi, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY HANOI
department of virology, national institute of hygiene and epidemiology, hanoi, viet nam	NATIONAL INSTITUTE OF HYGIENE AND EPIDEMIOLOGY
department of water resources, can tho university, can tho, viet nam	CAN THO UNIVERSITY
department of zoology, national museum of nature and science, tokyo, japan	NATIONAL MUSEUM OF NATURE AND SCIENCE
dermatology and stds, national center for hiv/aids, phnom penh, cambodia	NATIONAL CENTER FOR HIV/AIDS
design engineering lab, toyota technological institute, nagoya, japan	TOYOTA TECHNOLOGICAL INSTITUTE
discipline of business analytics, the university of sydney business school, sydney, australia	THE UNIVERSITY OF SYDNEY
disease control and prevention center, national center for global health and medicine, tokyo, japan	NATIONAL CENTER FOR GLOBAL HEALTH AND MEDICINE
division of animal sciences, institute of agrobiological sciences, naro, tsukuba, japan	INSTITUTE OF AGROBIOLOGICAL SCIENCES
division of computational mathematics and engineering, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
division of computational physics, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
division of materials and manufacturing science, the university of osaka, suita, japan	THE UNIVERSITY OF OSAKA
division of mechanical science and technology, gunma university, maebashi, japan	GUNMA UNIVERSITY
division of natural drug discovery, university of toyama, toyama, japan	UNIVERSITY OF TOYAMA
division of research and treatment for oral and maxillofacial congenital anomalies, aichi gakuin university, nisshin, japan	AICHI GAKUIN UNIVERSITY
duke-nus medical school, singapore city, singapore	DUKE-NUS MEDICAL SCHOOL
duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
dại học nguyen tat thanh, ho chi minh city, viet nam	HO CHI MINH CITY
ehime university, matsuyama, japan	EHIME UNIVERSITY
environment administration, ministry of natural resources and environment, vietnam, hanoi, viet nam	HANOI
environmental and renewable energy systems division, gifu university, gifu, japan	GIFU UNIVERSITY
estuary research center, shimane university, matsue, japan	SHIMANE UNIVERSITY
european southern observatory santiago, santiago, chile	EUROPEAN SOUTHERN OBSERVATORY SANTIAGO
evidence based medicine research group, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of advanced science and technology, kumamoto university, kumamoto, japan	KUMAMOTO UNIVERSITY
faculty of agriculture and marine science, kochi university, kochi, japan	KOCHI UNIVERSITY
faculty of agriculture, ehime university, matsuyama, japan	EHIME UNIVERSITY
faculty of agriculture, kagawa university, takamatsu, japan	KAGAWA UNIVERSITY
faculty of agriculture, kochi university, kochi, japan	KOCHI UNIVERSITY
faculty of agriculture, kyushu university, fukuoka, japan	KYUSHU UNIVERSITY
faculty of agriculture, saga university, saga, japan	SAGA UNIVERSITY
faculty of agriculture, university of miyazaki, miyazaki, japan	UNIVERSITY OF MIYAZAKI
faculty of agriculture, university of the ryukyus, nishihara, japan	UNIVERSITY OF THE RYUKYUS
faculty of agriculture, yamagata university, yamagata, japan	YAMAGATA UNIVERSITY
faculty of agronomy, university of agriculture and forestry, hue university, hue, viet nam	UNIVERSITY OF AGRICULTURE AND FORESTRY
faculty of agronomy, vietnam national university of agriculture, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of applied sciences, ton-duc-thang university, ho chi minh city, viet nam	TON-DUC-THANG UNIVERSITY
faculty of applied technology, van lang university, ho chi minh city, viet nam	VAN LANG UNIVERSITY
faculty of biology, trường đại học sư phạm hà nội, hanoi, viet nam	HANOI
faculty of biology, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of bioscience and bioindustry, tokushima university, tokushima, japan	TOKUSHIMA UNIVERSITY
faculty of biotechnology, dại học nguyen tat thanh, ho chi minh city, viet nam	HO CHI MINH CITY
faculty of chemical engineering, industrial university of ho chi minh city, ho chi minh city, viet nam	INDUSTRIAL UNIVERSITY OF HO CHI MINH CITY
faculty of chemistry, hanoi university of education, hanoi, viet nam	HANOI UNIVERSITY OF EDUCATION
faculty of chemistry, university of science, viet nam national university ho chi minh city, ho chi minh city, viet nam	UNIVERSITY OF SCIENCE
faculty of chemistry, vietnam national university, hanoi, hanoi, viet nam	VIETNAM NATIONAL UNIVERSITY
faculty of civil engineering, duy tan university, da nang, viet nam	DUY TAN UNIVERSITY
faculty of civil engineering, ho chi minh city university of technology - hcmut, ho chi minh city, viet nam	HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY - HCMUT
